There are 18653 gene objects in the arrayList.
Gene[162]: 	ACOT8, 		36518, 	46, 	0
Gene[163]: 	ACOT9, 		36524, 	40, 	0
Gene[164]: 	ACOX1, 		36478, 	86, 	0
Gene[165]: 	ACOX2, 		36508, 	56, 	0
Gene[166]: 	ACOX3, 		36434, 	130, 	0
Gene[167]: 	ACOXL, 		36498, 	66, 	0
Gene[168]: 	ACP1, 		36524, 	40, 	0
Gene[169]: 	ACP2, 		36508, 	56, 	0
Gene[170]: 	ACP5, 		36528, 	36, 	0
Gene[171]: 	ACP6, 		36528, 	36, 	0
Gene[172]: 	ACPL2, 		36486, 	76, 	2
Gene[173]: 	ACPP, 		36490, 	74, 	0
Gene[174]: 	ACPT, 		36482, 	82, 	0
Gene[175]: 	ACR, 		36530, 	34, 	0
Gene[176]: 	ACRBP, 		36470, 	94, 	0
Gene[177]: 	ACRC, 		36460, 	88, 	16
Gene[178]: 	ACRV1, 		36522, 	42, 	0
Gene[179]: 	ACSBG1, 	36504, 	60, 	0
Gene[180]: 	ACSBG2, 	36454, 	110, 	0
Gene[181]: 	ACSF2, 		36486, 	78, 	0
Gene[182]: 	ACSF3, 		36444, 	120, 	0
Gene[183]: 	ACSL1, 		36514, 	50, 	0
Gene[184]: 	ACSL3, 		36530, 	34, 	0
Gene[185]: 	ACSL4, 		36520, 	44, 	0
Gene[186]: 	ACSL5, 		36484, 	78, 	2
Gene[187]: 	ACSL6, 		36506, 	58, 	0
Gene[188]: 	ACSM1, 		36474, 	90, 	0
Gene[189]: 	ACSM2A, 	36526, 	38, 	0
Gene[190]: 	ACSM2B, 	36524, 	40, 	0
Gene[191]: 	ACSM3, 		36498, 	66, 	0
Gene[192]: 	ACSM4, 		36508, 	54, 	2
Gene[193]: 	ACSM5, 		36450, 	114, 	0
Gene[194]: 	ACSS1, 		36424, 	134, 	6
Gene[195]: 	ACSS2, 		36512, 	52, 	0
Gene[196]: 	ACSS3, 		36500, 	64, 	0
Gene[197]: 	ACTA1, 		36550, 	14, 	0
Gene[198]: 	ACTA2, 		36564, 	0, 	0
Gene[199]: 	ACTB, 		36558, 	2, 	4
